1 4 LEFT;0.6799999999165556 22;0.6799999181346394 42;0.6799963177999869 60;0.6799101389600725 74;0.6796723561056712 87;0.6798175650216889 113;0.679999999054345 133;0.6799024590528495 146;0.6799912983353114 168;0.679447788980054 198;0.6799974413260849 220;0.6799706758136447 239;0.6799999327006854 257;0.679992322924897 278;0.6729644961994964 302;0.6782900954100692 324;0.6799999999201707 338;0.6799932718894124 354;0.6749816253444181 365;0.6799959339243404 385;0.5172804274602069 401;0.6799837335170429 416;0.6798585676676866 429
1 2 RIGHT;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.28567234480000003 7;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12;-0.49072608796364 12
1 3 RIGHT;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.2919996796 8;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28;-0.5018484937434394 28
1 2 LEFT;0.7599999999999998 66;0.7561940851472764 147;0.7045959999999994 225;0.7597874235999946 295;0.7599999632875576 367;0.7599999585053199 435;0.7599963999999998 517;0.7597375589502199 594;0.759999358479999 664;0.7599998023871729 745;0.7599999998600563 820;0.7591251999856179 890;0.7599999999999996 958;0.7597375599994816 1036;0.7599675998859317 1110;0.7596146821505283 1189;0.7596177930399998 1265;0.7599999999999998 1336;0.7580559999969816 1413;0.7599999999983185 1481;0.6437184958976594 1554;0.7599999084127327 1627;0.7596342767572897 1692
3 2 RIGHT;0.9199999999999999 129;0.9199999974079999 275;0.9199999999999999 421;0.91639999964 561;0.9199999999999999 711;0.9199899559999999 854;0.919352 1000;0.9199999999999999 1147;0.9199999999999999 1299;0.9199999999999999 1413;0.9199999999999999 1557;0.9199999999999999 1702;0.9199999999999999 1847;0.9199999999999999 1983;0.9199983799999999 2129;0.9163999999963999 2271;0.9199999999999999 2420;0.9168895957510322 2563;0.8832799999999998 2713;0.9199999999999999 2865;0.9199823158551859 3011;0.9199999999999999 3156;0.9163999991567615 3310
1 4 UP;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59;-0.8970742802599362 59
3 3 RIGHT;0.96 143;0.959999999964 301;0.96 460;0.96 614;0.96 771;0.959999964 932;0.9599639999999999 1095;0.96 1259;0.96 1425;0.96 1518;0.96 1680;0.96 1840;0.96 2001;0.96 2162;0.9599999964 2336;0.96 2485;0.96 2639;0.9599711999606577 2815;0.6715505940168494 2971;0.96 3140;0.9599996725758367 3307;0.96 3467;0.9599999999997116 3634
1 3 LEFT;0.7199999999999998 54;0.719999999892937 114;0.7199999999484228 164;0.7197661659483241 213;0.7199993503291227 271;0.7199990050899598 328;0.7196759999999998 385;0.7190547458511015 444;0.7199692944596112 491;0.7199904097040204 556;0.7199999933858516 615;0.7173755974450847 671;0.7199999999997757 722;0.7190551988875873 784;0.7180171078536246 840;0.7163348110471985 899;0.7172375759999997 962;0.7199999999996297 1019;0.7025039999243881 1081;0.7199999987673302 1131;0.5977399536781935 1188;0.7163848764728336 1242;0.7179081671272451 1287
1 3 UP;-0.292 7;-0.292 7;-0.292 7;-0.292 7;-0.292 7;-0.292 7;-0.292 7;-0.292 7;-0.292 7;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13;-0.5079999999999999 13
1 1 RIGHT;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9;-0.43182701663182665 9
1 2 UP;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12
3 2 LEFT;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7;-0.3188093392359788 7
1 1 UP;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11
1 1 LEFT;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11;-0.4359999999999999 11
3 3 LEFT;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4;-0.24962040598292617 4
3 3 UP;-0.04 0;-0.04 0;-0.04 0;-0.04 0;-0.04 0;-0.04 0;-0.04 0;-0.04 0;-0.04 0;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25;-0.39506655249780775 25
1 4 RIGHT;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
3 2 UP;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8
3 1 UP;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8;-0.3606604039165953 8
3 1 LEFT;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9
1 4 DOWN;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1
1 2 DOWN;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.256 6;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12;-0.47199999999999986 12
1 3 DOWN;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.2881278472 8;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13;-0.5052651609662173 13
3 2 DOWN;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.11200000000000002 2;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8;-0.32799999999999996 8
1 1 DOWN;0.7999999999999998 79;0.7994566825402398 169;0.7964035999999998 267;0.7999580095999999 354;0.7999999987898598 448;0.7984590199241839 535;0.7999999999999998 626;0.7999810459737557 723;0.7967599983151998 807;0.7999999921041715 902;0.7999999999999639 1000;0.799611199999847 1090;0.7997083999999999 1185;0.7999708399999997 1279;0.7976373199974405 1364;0.7999997795503995 1462;0.7999870173199999 1557;0.7999999999999998 1641;0.7999279999998924 1731;0.799999999999983 1813;0.7677370333428402 1902;0.7999999997645323 1989;0.7999702219501854 2079
3 3 DOWN;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5
3 1 DOWN;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8799999999999999 111;0.8799991967773599 234;0.8799279999999999 364;0.8799999773199999 480;0.8799999999999639 607;0.8798250399999998 740;0.8770839999999999 867;0.8799999963999999 992;0.8799999999999999 1125;0.8799999999996385 1231;0.8799999999999999 1357;0.8799963999999999 1485;0.8799963999999999 1618;0.8799999963999999 1747;0.8799708399999999 1868;0.8767599999675999 1998;0.8799999999999999 2125;0.8471391649460162 2250;0.8787039999999998 2385;0.8799999999999999 2507;0.8796020046096839 2627;0.8799999999999999 2758;0.876759987752283 2897
2 3 RIGHT;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1
2 3 LEFT;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23
2 1 RIGHT;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10
2 3 UP;0.6799928722635411 23;0.679988623799736 45;0.6799959213433647 59;0.679429802341367 75;0.6722213005123712 92;0.6798426213800878 109;0.6799999976581075 127;0.6799373710205752 150;0.6797635638664191 169;0.6796223657404146 210;0.6799944665018219 226;0.6796726397952837 247;0.679999981136926 265;0.6799999998806209 284;0.6799759006704329 296;0.6780251535449943 318;0.6799963999952918 343;0.6799999562830097 362;0.627462065487523 385;0.6799784856360724 400;0.6702690912570061 423;0.6782772012553966 446;0.67914437309476 464
2 1 LEFT;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10
2 1 UP;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10
2 3 DOWN;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1
2 1 DOWN;0.8399999999999999 96;0.8399660752235999 203;0.8380199999999998 320;0.8399959175999998 422;0.8399999999814958 538;0.8397375599999638 648;0.8373755999999999 752;0.8399998055999639 864;0.8396399999963998 972;0.8399999998538473 1071;0.8399999999999999 1183;0.8327315999999997 1297;0.8399351999999998 1407;0.8399983799999998 1522;0.8397375599999995 1620;0.8399999962091999 1736;0.8399996396399999 1850;0.7751999999999998 1958;0.8341679999999998 2070;0.8399999999999999 2173;0.8352224530281968 2274;0.8399999999999962 2384;0.839998931411664 2499
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
